date,holiday
1/1/2019,New Year's Day
5/27/2019,Memorial Day
7/4/2019,July 4th
9/2/2019,Labor Day
11/28/2019,Thanksgiving
12/24/2019,Christmas Eve
12/25/2019,Christmas Day
12/31/2019,New Year's Eve
1/1/2020,New Year's Day
5/25/2020,Memorial Day
7/4/2020,July 4th
9/7/2020,Labor Day
11/26/2020,Thanksgiving
12/24/2020,Christmas Eve
12/25/2020,Christmas Day
12/31/2020,New Year's Eve
1/1/2021,New Year's Day
5/31/2021,Memorial Day
7/4/2021,July 4th
9/6/2021,Labor Day
11/25/2021,Thanksgiving
12/24/2021,Christmas Eve
12/25/2021,Christmas Day
12/31/2021,New Year's Eve
1/1/2022,New Year's Day
5/30/2022,Memorial Day
1/7/2022,July 4th
9/5/2022,Labor Day
11/24/2022,Thanksgiving
12/24/2022,Christmas Eve
12/25/2022,Christmas Day
12/31/2022,New Year's Eve
1/1/2023,New Year's Day
5/29/2023,Memorial Day
1/7/2023,July 4th
9/4/2023,Labor Day
11/23/2023,Thanksgiving
12/24/2023,Christmas Eve
12/25/2023,Christmas Day
12/31/2023,New Year's Eve
