salary,ceoten
1161,2
600,10
379,3
651,22
497,6
1067,7
945,10
1261,8
503,4
1094,5
601,7
355,8
1200,37
697,1
1041,11
245,7
817,4
1675,12
971,24
609,1
470,6
867,14
752,4
246,8
825,4
358,4
1162,6
270,2
829,8
300,26
1627,4
1237,9
540,1
1798,14
474,1
1336,13
541,4
129,4
1700,5
1750,24
624,13
791,8
1487,3
2021,3
1550,3
401,8
1295,8
449,1
456,3
1142,1
577,2
600,7
649,4
822,20
1080,5
1738,12
581,19
912,9
650,13
2199,8
609,15
1946,21
552,1
481,4
526,7
471,2
630,1
622,4
999,17
585,10
1107,6
1099,10
425,13
2792,11
350,4
363,6
2265,6
377,5
879,9
720,12
950,14
1143,3
1064,3
1253,5
462,0
174,13
474,4
1248,7
1101,3
348,10
650,5
875,10
1600,1
1500,4
323,3
459,3
925,12
375,4
447,1
1340,10
1749,11
491,2
5299,13
431,3
729,3
1284,3
1373,8
989,5
515,1
1301,15
834,1
849,24
100,26
679,6
567,10
559,2
704,6
308,14
1392,6
389,4
790,37
396,28
398,4
707,1
984,4
410,20
1095,5
694,19
834,0
1630,8
493,1
625,9
483,14
733,8
2102,20
853,34
345,0
800,9
764,16
806,3
310,1
1119,9
1287,3
1170,3
880,12
1091,9
1100,6
650,4
607,3
1133,9
393,6
605,4
1444,2
1033,1
1142,3
537,20
693,12
439,12
358,11
1276,17
873,2
537,1
713,2
1350,5
1268,4
465,3
693,3
369,1
381,2
467,0
559,16
218,5
264,3
185,1
387,13
2220,18
445,0
