month,year,precipitation,min_temp,max_temp,mean_temp
July,1948,0.2142,74.1935,89.9032,82.0484
July,1949,0.1277,75.1613,89.3548,82.2581
July,1950,0.2577,74.2581,88.4516,81.3548
July,1951,0.2787,74.3226,89.2581,81.7903
July,1952,0.2303,76.1935,90.6452,83.4194
July,1953,0.2148,74.9677,89.9355,82.4516
July,1954,0.2971,76.129,89.7097,82.9194
July,1955,0.2545,74.3871,87.6129,81.0
July,1956,0.0755,75.7419,89.6774,82.7097
July,1957,0.3077,74.2258,89.129,81.6774
July,1958,0.2123,76.5806,88.3226,82.4516
July,1959,0.2645,74.4516,86.8387,80.6452
July,1960,0.17,77.0968,90.2903,83.6935
July,1961,0.0616,77.7419,89.3226,83.5323
July,1962,0.1206,76.4194,90.2258,83.3226
July,1963,0.0571,76.2581,89.9677,83.1129
July,1964,0.1777,76.9032,88.6774,82.7903
July,1965,0.2116,74.2581,88.2903,81.2742
July,1966,0.2742,74.7419,87.3548,81.0484
July,1967,0.179,76.3871,88.2903,82.3387
July,1968,0.1984,76.0645,87.0645,81.5645
July,1969,0.2735,77.4194,90.6774,84.0484
July,1970,0.1445,77.1935,88.1613,82.6774
July,1971,0.1523,77.0,88.3871,82.6935
July,1972,0.23,75.1935,86.6452,80.9194
July,1973,0.1981,75.9032,87.7097,81.8065
July,1974,0.1965,76.4194,88.7742,82.5968
July,1975,0.161,75.6129,86.6129,81.1129
July,1976,0.1235,77.7419,88.5161,83.129
July,1977,0.1687,78.7742,88.4839,83.629
July,1978,0.0868,77.1613,87.6774,82.4194
July,1979,0.1632,77.4194,88.9032,83.1613
July,1980,0.3032,76.0323,89.129,82.5806
July,1981,0.0897,77.2581,92.5806,84.9194
July,1982,0.1239,77.7097,90.871,84.2903
July,1983,0.2,78.1935,91.8387,85.0161
July,1984,0.2381,75.2903,88.4516,81.871
July,1985,0.3623,73.5161,88.4839,81.0
July,1986,0.2519,75.4839,90.5806,83.0323
July,1987,0.1668,77.6129,90.7742,84.1935
July,1988,0.3516,76.0968,90.129,83.1129
July,1989,0.1139,76.4839,90.0968,83.2903
July,1990,0.139,75.7097,91.2258,83.4677
July,1991,0.2352,76.5484,90.5484,83.5484
July,1992,0.1358,78.2258,91.5484,84.8871
July,1993,0.2348,77.2581,91.7742,84.5161
July,1994,0.0977,77.5484,89.8065,83.6774
July,1995,0.2052,77.9677,91.0,84.4839
July,1996,0.1694,78.4516,90.4839,84.4677
July,1997,0.2458,77.4516,90.7097,84.0806
July,1998,0.1745,77.9032,91.7097,84.8065
July,1999,0.1161,77.7097,90.2258,83.9677
July,2000,0.1706,76.8387,90.7742,83.8065
July,2001,0.2232,75.7097,89.3548,82.5323
July,2002,0.4116,76.6774,89.2903,82.9839
July,2003,0.2039,78.6774,90.2581,84.4677
July,2004,0.2174,77.3871,91.2903,84.3387
July,2005,0.1613,78.8387,91.4516,85.1452
July,2006,0.2361,76.9032,89.0323,82.9677
July,2007,0.2913,76.9677,90.8387,83.9032
July,2008,0.2881,75.9677,89.8065,82.8871
July,2009,0.199,77.871,92.0,84.9355
July,2010,0.2374,78.5806,91.2258,84.9032
July,2011,0.1842,78.2258,91.1935,84.7097
July,2012,0.2877,76.8387,89.9355,83.3871
July,2013,0.4097,76.2581,88.5806,82.4194
July,2014,0.3319,77.0968,90.6452,83.871
July,2015,0.1906,77.7097,91.4839,84.5968
July,2016,0.1326,78.2581,91.1613,84.7097
July,2017,0.4016,79.5806,91.871,85.7258
July,2018,0.2587,76.4194,90.871,83.6452
July,2019,0.34,78.0323,92.0968,85.0645
July,2020,0.331,78.871,92.9677,85.9194
July,2021,0.2651,79.1047,93.1845,86.1446
July,2022,0.1552,79.4516,93.4803,86.2581
July,2023,0.2393,79.1612,93.9032,86.5322
